método,WAPE,MASE,MAE,RMSE,sesgo rel.
ETS,0.19038061673670503,0.6491477181402935,191.82830267647373,260.78563474728224,-0.03961333745794113
Holt-Winters mult.,0.19512988438997664,0.6653414689159962,196.61368455252543,274.78402652615097,0.007807700321423753
media móvil(4),0.2150625452289879,0.7333065880646721,216.69791666666666,327.48961497529456,0.040835314793755816
Holt(phi=0.9),0.21700294459501773,0.7399228384074323,218.65307115287567,335.49511375148563,0.06256844733341334
SES(a=0.3),0.22926712041677663,0.7817404450841484,231.01050581161255,333.5410897038648,0.018712216747918568
ingenuo estacional,0.2857644991212654,0.974381613578987,287.9375,389.3395850668154,-0.045590819807712187
ingenuo,0.32877080533443603,1.1210217811677499,331.2708333333333,445.0736596339981,0.024253075571177504
