método,WAPE,MASE,MAE,RMSE,MAPE,sesgo rel.
Holt-Winters mult.,0.20104810218335797,0.7301781492338549,219.8538323568167,295.3155384623129,0.19396687830205542,0.005914387414705066
Holt-Winters adit.,0.20143733907111913,0.7315918023210141,220.27947786423303,305.92333947586746,0.18759063839395804,0.06324029569940379
ingenuo estacional,0.2620287000562746,0.9516510187136743,286.53846153846155,405.30026855691534,0.266972810116121,-0.04600450196961171
ingenuo,0.26435002813731007,0.9600817525707351,289.0769230769231,353.35262405007967,0.2899209512124385,-0.13759144625773775
Holt(phi=0.9),0.6021547597246807,2.186940554192006,658.4793895573893,697.501232455149,0.6914178970990081,-0.5674125220207562
SES(a=0.3),0.6192595615587612,2.249062764800242,677.1841482399499,717.2748245898449,0.7117592918306955,-0.5871560275543491
Holt(phi=1),0.6995690036763947,2.540735251009421,765.005612020279,808.9538795990402,0.8053293995969644,-0.6790570043208346
media móvil(13),0.7073719752391672,2.5690745353515996,773.5384615384615,812.0494016802369,0.8100819998048338,-0.6826111423747889
media móvil(4),0.7751125492402926,2.815098677907645,847.6153846153846,886.3810524781696,0.8856722191316062,-0.7559967642093416
