politica,objetivo,circularidad,CO2e,reensamblados,nuevos,cores_aceptados,setups,venta_perdida,sobrecosto_vs_ninguna_%
ninguna,108887417.28720464,8.290301265265168,127701.60632657935,2336.206896551724,25843.793103448275,1284.3251914128723,3.0,0.0,0.0
global,111008861.577333,32.45074765668976,102061.03088044561,9144.620689655172,19035.379310344826,9278.433318456378,11.0,0.0,1.9482914949968677
rodante,113622518.53370878,36.972653737241615,97142.13803292172,10376.654001732546,17689.099880792815,11612.299128481085,14.0,114.24611747463678,4.348621139589248
acumulado,115220634.53955099,26.549899143420536,101717.46551724136,7008.620689655172,19389.297629337816,7594.081027100773,9.0,1782.0816810070123,5.816298531208308
periodo,115752024.27577567,26.549899143420536,101717.46551724136,7008.620689655172,19389.297629337816,7594.081027100796,9.0,1782.0816810070114,6.3043161088711885
