modelo,estado,objetivo,cota,gap_%,gap_raiz_%,setups,arranques,variables,binarias,restricciones,segundos,setup,almacenamiento,arranque,backlog,horas extra,penal. stock seg.,backlog_cajas,horas_extra_h,_costo_variable_excluido,M_medio
cota VÁLIDA (con_backlog=True),OPTIMAL,16148004.554504883,16148004.554504883,0.0,63.921395206773006,30,0,336,72,252,1.9130258560180664,11799000.0,3437101.541911037,0.0,827454.6345063458,84448.37808749914,0.0,863.6055203092764,0.6119447687499937,972261900.0000001,4945.164279655182
cota INVÁLIDA (heredada del cuad. 02),OPTIMAL,16152893.77641741,16152893.77641741,0.0,50.466798109971485,30,0,336,72,252,0.8626649379730225,11799000.0,3496970.0444110283,0.0,698353.107006382,158570.62499999895,0.0,806.3073953092837,1.1490624999999923,972261900.0,4066.344517979559
árbitro: big-M = 1e6,OPTIMAL,16148004.55450488,16148004.554504197,4.233283236082919e-12,98.09582622352406,30,0,336,72,252,1.8464438915252686,11799000.0,3437101.5419110367,0.0,827454.6345063432,84448.3780875013,0.0,863.6055203092739,0.6119447687500095,972261900.0,1000000.0
