modelo,estado,variables,binarias,restricciones,segundos,objetivo,cota,gap_%,gap_raiz_%,setups,horas_de_cambio,n_cambios,setup,almacenamiento,backlog,horas extra,cambios de familia
sin contigüidad,OPTIMAL,912,180,792,132.1178901195526,18617123.28204086,18617123.282040805,3.0015031662186565e-13,68.67510725333756,32,20.200000000000003,13,12588000.0,3535438.849282295,457987.18655294995,96497.24620561796,1939200.0
con contigüidad,OPTIMAL,912,180,828,191.11271905899048,18617123.28204086,18617123.28203664,2.267135391550492e-11,68.67510725333756,32,20.200000000000003,13,12588000.0,3535438.849282295,457987.18655294995,96497.24620561796,1939200.0
