nodo,padre,etapa,p,semanas,demanda,mult_ret,aceptados,desensambla,reensambla,nuevos,perdida,rigido_reensambla,rigido_nuevos,circularidad_%
1,0,1,1.0,1-4,10849.0,1.0,1914.5560866138264,2781.377413951136,2474.137931034483,7754.862068965517,0.0,2474.1379310344823,7754.862068965518,24.187485883610158
2,1,2,0.5,5-8,8850.0,1.1,7681.859999999998,7715.038672662688,2474.137931034482,6375.862068965518,0.0,2474.137931034483,6375.862068965517,27.95636080264951
3,1,2,0.5,5-8,11465.0,0.86,5730.30781866157,5763.48649132426,2474.1379310344832,8990.862068965516,0.0,2474.137931034483,6375.862068965517,21.579920898687163
4,2,3,0.25,9-12,6114.0,1.21,817.5800549617799,817.5800549617799,4948.275862068966,1165.7241379310349,0.0,6960.2736291408255,958.7263708591737,80.93352734820029
5,2,3,0.25,9-12,7919.0,0.946,3032.2233184009997,3032.2233184009997,6879.451682823223,1039.548317176777,0.0,6960.2736291408255,958.7263708591737,86.8727324513603
6,3,3,0.25,9-12,7919.0,0.946,2430.8599629159717,2430.8599629159717,4617.137931034483,3301.862068965517,0.0,6960.2736291408255,958.7263708591737,58.30455778550932
7,3,3,0.25,9-12,10259.0,0.7396,2809.0007999999993,2809.0007999999993,4948.275862068966,5310.724137931034,0.0,6960.2736291408255,958.7263708591737,48.23351069372225
