politica,estado,objetivo,gap_%,setups,CO2e_total,peak_semanal,horas_extra_h,backlog_cajas,variables,binarias,restricciones,segundos
ninguna,OPTIMAL,15772683.144179128,0.0,32,411489.45,44894.29364333687,0.0,192.25570897558993,336,72,246,1.5086603009999635
global,OPTIMAL,16941826.844142333,0.0,26,400498.6248594531,42647.727836329825,1.1492090468750007,3426.3537269077033,336,72,247,2.945668283000032
rodante,OPTIMAL,25484045.85326676,0.0,26,400509.45765973016,45039.06098186097,1.263238523475697,18650.60197177769,336,72,255,4.115605120000055
acumulado,OPTIMAL,30224697.13688106,0.0,26,400389.4500000002,36033.99999999998,0.0,23628.078943006836,336,72,258,6.68139778800014
periodo,OPTIMAL,30896718.074772887,0.0,26,400512.0,33376.0,1.2900000000002372,24627.301221187558,336,72,258,20.31490136399998
