modelo,estado,objetivo,cota,gap_%,gap_raiz_%,setups,arranques,variables,binarias,restricciones,segundos,setup,almacenamiento,arranque,backlog,horas extra,penal. stock seg.,backlog_cajas,horas_extra_h,_costo_variable_excluido,n_corridas,largo_medio_corrida
sin costo de arranque,OPTIMAL,16148004.554504883,16148004.554504883,0.0,63.921395206773006,30,0,336,72,252,1.8435988426208496,11799000.0,3437101.541911037,0.0,827454.6345063458,84448.37808749914,0.0,863.6055203092764,0.6119447687499937,972261900.0000001,23,1.3043478260869565
con costo de arranque,OPTIMAL,25827783.989486724,25827783.989486724,0.0,73.46653187127909,43,7,408,144,324,15.41585397720337,16497000.0,3405361.8637156133,4787200.0,1138222.1257711137,0.0,0.0,659.2928438267791,0.0,972261899.9999989,7,6.142857142857143
